awards,film,nominations,year
0 (1),Target for Tonight,0,1941
1,"Teddy, the Rough Rider",1,1940
1,Tempest,1,1927
1,That Hamilton Woman,4,1941
1,That Mothers Might Live,1,1938
1,Thirty Seconds Over Tokyo,2,1944
1,This Above All,4,1942
1,This Is the Army,3,1943
1,This Land Is Mine,1,1943
1,This Mechanical Age,1,1954
2,Three Coins in the Fountain,3,1954
1,Three Little Pigs,1,1932
1,Three Orphan Kittens,1,1935
1,Through a Glass Darkly,2,1961
1,Thunderball,1,1965
1,Thursday's Children,1,1954
1,Tin Pan Alley,1,1940
1,Titanic,2,1953
1,To Catch a Thief,3,1955
1,To Each His Own,2,1946
3,To Kill a Mockingbird,8,1962
4,Tom Jones,10,1963
1,tom thumb,1,1958
1,"Toot, Whistle, Plunk and Boom",1,1953
1,Topkapi,1,1964
1,Torture Money,1,1937
1,Toward Independence,1,1948
1,Transatlantic,1,1931
1,Tweetie Pie,1,1947
2,Twelve O'Clock High,4,1949
1,Two Arabian Knights,1,1927
1,Two Women,1,1961
1,Underworld,1,1927
1,Vacation from Marriage,1,1946
1,Van Gogh,1,1949
1,Viva Villa!,4,1934
1,Viva Zapata!,5,1952
1,Waikiki Wedding,2,1937
1,Watch on the Rhine,4,1943
1,Water Birds,1,1952
10,West Side Story,11,1961
1,What Ever Happened to Baby Jane?,5,1962
1,When Tomorrow Comes,1,1939
1,When Magoo Flew,1,1954
1,When Worlds Collide,2,1951
1,White Shadows in the South Seas,1,1928
1,White Wilderness,2,1958
1,Who's Who in Animal Land,1,1944
1,Why Korea?,1,1950
5,Wilson,10,1944
2,Wings,2,1927
1,Wings Over Everest,1,1935
1,With a Song in My Heart,5,1952
1,With Byrd at the South Pole,1,1929
1,With the Marines at Tarawa,1,1944
1,Woman of the Year,2,1942
1,Wonder Man,4,1945
1,World of Kids,1,1951
1,World Without Sun,1,1964
1,Wrestling Swordfish,1,1931
1,Written on the Wind,3,1956
1,Wuthering Heights,8,1939
3,Yankee Doodle Dandy,8,1942
2,The Yearling,7,1946
1,"Yesterday, Today and Tomorrow",1,1964
2,You Can't Take It with You,7,1938
3,Zorba the Greek,7,1964
